model_name,model_type,training_data,imagenet_accuracy,perspective_accuracy,depth_accuracy,perspective_accuracy_human,depth_accuracy_human
focalnet_tiny_lrf.ms_in1k,Transformer,ImageNet 1k,82.154,51.2993763,68.42310695,46.80851064,58.5106383
hrnet_w18_small_v2.ms_in1k,CNN,ImageNet 1k,75.11,50.38981289,68.81342701,52.12765957,67.0212766
hrnet_w18_small.ms_in1k,CNN,ImageNet 1k,72.336,51.24740125,62.33411397,44.68085106,69.14893617
hrnet_w18.ms_in1k,CNN,ImageNet 1k,76.752,50.80561331,67.72053084,51.06382979,61.70212766
hrnet_w30.ms_in1k,CNN,ImageNet 1k,78.196,48.77858628,65.92505855,56.38297872,69.14893617
hrnet_w32.ms_in1k,CNN,ImageNet 1k,78.442,51.53326403,69.43793911,46.80851064,65.95744681
hrnet_w40.ms_in1k,CNN,ImageNet 1k,78.932,50.85758836,63.50507416,47.87234043,59.57446809
hrnet_w44.ms_in1k,CNN,ImageNet 1k,78.894,50.5977131,65.57377049,61.70212766,57.44680851
hrnet_w48.ms_in1k,CNN,ImageNet 1k,79.306,49.48024948,66.08118657,52.12765957,60.63829787
lcnet_050.ra2_in1k,CNN,ImageNet 1k,63.138,50.64968815,58.78220141,56.38297872,69.14893617
lcnet_075.ra2_in1k,CNN,ImageNet 1k,68.782,50.62370062,60.49960968,50,67.0212766
lcnet_100.ra2_in1k,CNN,ImageNet 1k,72.102,51.42931393,63.19281811,57.44680851,71.27659574
levit_128.fb_dist_in1k,Transformer,ImageNet 1k,78.49,49.22037422,64.75409836,53.19148936,52.12765957
levit_128s.fb_dist_in1k,Transformer,ImageNet 1k,76.526,49.16839917,64.67603435,46.80851064,59.57446809
levit_192.fb_dist_in1k,Transformer,ImageNet 1k,79.838,50.44178794,68.65729899,55.31914894,57.44680851
levit_256.fb_dist_in1k,Transformer,ImageNet 1k,81.524,50.54573805,64.79313037,53.19148936,57.44680851
levit_384.fb_dist_in1k,Transformer,ImageNet 1k,82.596,49.76611227,70.68696331,53.19148936,59.57446809
maxvit_rmlp_base_rw_224.sw_in12k_ft_in1k,Transformer,ImageNet 12k,86.894,51.66320166,70.37470726,55.31914894,56.38297872
maxxvitv2_rmlp_base_rw_384.sw_in12k_ft_in1k,Transformer,ImageNet 12k,87.464,50.85758836,76.97111632,61.70212766,68.08510638
maxvit_rmlp_small_rw_224.sw_in1k,Transformer,ImageNet 1k,84.492,50.90956341,68.1108509,50,63.82978723
maxvit_small_tf_224.in1k,Transformer,ImageNet 1k,84.426,50.75363825,72.4824356,53.19148936,61.70212766
maxvit_tiny_rw_224.sw_in1k,Transformer,ImageNet 1k,83.504,50.49376299,64.94925839,52.12765957,53.19148936
maxvit_tiny_tf_224.in1k,Transformer,ImageNet 1k,83.402,50.33783784,65.10538642,51.06382979,60.63829787
mixnet_l.ft_in1k,CNN,ImageNet 1k,78.966,51.09147609,69.04761905,50,60.63829787
