model_name,imagenet_accuracy,perspective_accuracy,depth_accuracy,perspective_accuracy_human,depth_accuracy_human
beitv2_large_patch16_224.in1k_ft_in22k_in1k,88.394,51.35135135135135,76.11241217798595,48.93617021276596,72.3404255319149
caformer_m36.sail_in1k,85.232,50.64968814968815,64.20765027322405,50.0,59.57446808510638
caformer_m36.sail_in22k_ft_in1k,86.594,51.11746361746362,71.81889149102264,47.87234042553192,63.829787234042556
caformer_s18.sail_in1k,83.654,50.935550935550935,68.65729898516784,51.06382978723404,55.319148936170215
caformer_s18.sail_in22k_ft_in1k,84.074,51.01351351351351,70.60889929742389,52.12765957446809,63.829787234042556
caformer_s36.sail_in1k,84.506,50.987525987525984,62.177985948477755,55.319148936170215,45.744680851063826
caformer_s36.sail_in22k_ft_in1k,85.79,51.37733887733887,72.20921155347385,57.446808510638306,69.14893617021278
cait_s24_224.fb_dist_in1k,83.442,51.58523908523909,69.75019516003123,63.829787234042556,61.702127659574465
cait_xxs24_224.fb_dist_in1k,78.384,48.7006237006237,65.88602654176424,54.25531914893617,55.319148936170215
cait_xxs36_224.fb_dist_in1k,79.746,50.77962577962578,63.81733021077284,54.25531914893617,60.63829787234043
coat_lite_medium.in1k,83.6,51.37733887733887,68.65729898516784,55.319148936170215,60.63829787234043
coat_lite_mini.in1k,79.102,49.92203742203743,62.41217798594848,54.25531914893617,54.25531914893617
coat_lite_small.in1k,82.312,51.16943866943867,65.22248243559719,54.25531914893617,63.829787234042556
coat_lite_tiny.in1k,77.52,50.59771309771309,63.23185011709602,53.191489361702125,55.319148936170215
coat_mini.in1k,81.27,50.2079002079002,61.86572989851678,55.319148936170215,52.12765957446809
coat_small.in1k,82.362,51.559251559251564,67.52537080405932,58.51063829787234,63.829787234042556
coat_tiny.in1k,78.426,52.36486486486487,60.7728337236534,53.191489361702125,55.319148936170215
coatnet_0_rw_224.sw_in1k,82.39,51.32536382536382,64.63700234192038,51.06382978723404,58.51063829787234
coatnet_1_rw_224.sw_in1k,83.596,50.07796257796257,68.22794691647151,53.191489361702125,59.57446808510638
coatnet_bn_0_rw_224.sw_in1k,82.4,49.974012474012476,65.4566744730679,58.51063829787234,59.57446808510638
coatnet_nano_rw_224.sw_in1k,81.696,50.05197505197505,65.57377049180327,55.319148936170215,58.51063829787234
coatnet_rmlp_1_rw_224.sw_in1k,83.362,52.26091476091476,64.09055425448868,56.38297872340425,63.829787234042556
coatnet_rmlp_1_rw2_224.sw_in12k_ft_in1k,84.91,51.58523908523909,69.43793911007026,57.446808510638306,58.51063829787234
coatnet_rmlp_2_rw_224.sw_in1k,84.608,51.61122661122661,65.65183450429352,45.744680851063826,62.76595744680851
coatnet_rmlp_nano_rw_224.sw_in1k,82.05,52.13097713097713,63.50507416081187,48.93617021276596,50.0
convit_base.fb_in1k,82.29,53.274428274428274,73.06791569086651,58.51063829787234,52.12765957446809
convit_small.fb_in1k,81.42,51.195426195426194,71.89695550351288,59.57446808510638,53.191489361702125
convit_tiny.fb_in1k,73.112,50.38981288981289,64.94925839188134,47.87234042553192,56.38297872340425
convmixer_1024_20_ks9_p14.in1k,76.936,51.24740124740125,65.0663544106167,45.744680851063826,63.829787234042556
convmixer_1536_20.in1k,81.362,50.05197505197505,70.92115534738485,53.191489361702125,62.76595744680851
convmixer_768_32.in1k,80.168,51.16943866943867,67.44730679156909,48.93617021276596,52.12765957446809
davit_base.msft_in1k,84.642,51.195426195426194,70.10148321623731,58.51063829787234,62.76595744680851
davit_small.msft_in1k,84.252,51.24740124740125,72.63856362217018,57.446808510638306,64.8936170212766
